movieId,rating_count,title
356,329,Forrest Gump (1994)
318,317,"Shawshank Redemption, The (1994)"
296,307,Pulp Fiction (1994)
593,279,"Silence of the Lambs, The (1991)"
2571,278,"Matrix, The (1999)"
260,251,Star Wars: Episode IV - A New Hope (1977)
480,238,Jurassic Park (1993)
110,237,Braveheart (1995)
589,224,Terminator 2: Judgment Day (1991)
527,220,Schindler's List (1993)
2959,218,Fight Club (1999)
1,215,Toy Story (1995)
1196,211,Star Wars: Episode V - The Empire Strikes Back (1980)
50,204,"Usual Suspects, The (1995)"
2858,204,American Beauty (1999)
47,203,Seven (a.k.a. Se7en) (1995)
780,202,Independence Day (a.k.a. ID4) (1996)
150,201,Apollo 13 (1995)
1198,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
4993,198,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
